SEQ_ID,Castration-resistent_Met,Castration-resistent_nonMet,Met,Newly_diagnosed,Normal_male_controls,PSA-recurrent_nonMet
112_RPL19_6143,6,1,3,3,2,6
1120_LAPTM4B_55353,5,3,2,1,1,5
1121_RPL22L1_200916,4,2,1,2,2,12
1122_NFIL3_4783,16,3,7,6,13,20
1123_H2AFV_94239,2,1,0,0,0,2
1124_TIMM13_26517,1,1,0,1,0,5
1125_IGF2_3481,5,0,0,1,1,3
1126_RAD23B_5887,24,8,7,8,10,33
1127_IGF1R_3480,28,8,11,10,11,26
1128_C5orf15_56951,4,0,0,3,2,4
1129_EZH2_2146,18,4,9,10,10,19
113_LOC648771_648771,7,1,0,2,3,5
1130_RASSF3_283349,11,2,6,5,6,14
1132_SH3RF1_57630,22,9,9,10,10,28
1133_SMARCA1_6594,23,7,12,9,7,26
1134_C1QBP_708,4,1,0,0,0,3
1135_ARMC2_84071,14,6,6,12,8,23
1136_HPRT1_3251,6,1,3,3,8,13
1137_KAT6A_7994,29,12,12,16,16,41
1138_SNRNP200_23020,28,6,8,8,12,36
1139_NDUFA2_4695,7,0,0,2,0,11
114_SRRM2_23524,30,11,12,13,14,35
1140_PODXL_5420,17,2,6,8,13,18
1141_EIF4A3_9775,11,0,5,3,3,14
1142_NOP56_10528,16,6,3,5,6,12
1143_PHF2_5253,28,5,12,10,9,27
1144_ATP5I_521,0,2,2,3,0,1
1145_PRR15L_79170,6,2,1,1,2,8
1146_SSBP1_6742,2,1,3,2,3,11
1147_PPA1_5464,11,7,9,7,9,17
1148_GMPR2_51292,6,2,3,3,4,2
1149_ARF3_377,5,1,3,2,5,10
115_HMGN2_3151,8,1,2,1,1,6
1150_NME1_4830,3,0,0,1,0,5
1151_SAV1_60485,5,5,2,4,3,12
1152_HIST1H4L_8368,2,1,0,1,0,2
1153_SELK_58515,2,1,3,2,0,2
1154_CAMLG_819,5,1,4,1,2,5
1155_EIF5_1983,11,5,6,6,5,13
1156_PREPL_9581,14,4,8,8,5,13
1157_KRAS_3845,3,0,1,1,1,5
1158_SEMA4C_54910,15,6,5,7,6,21
1159_PIP4K2B_8396,13,4,6,4,7,11
116_TRIB1_10221,31,12,12,14,12,38
1160_CYFIP1_23191,21,6,7,9,5,19
1161_LINC00116_205251,2,0,0,0,0,2
1162_LIMS1_3987,7,2,1,3,4,13
1163_CARS2_79587,9,4,2,5,5,12
1164_PTDSS1_9791,3,2,1,0,1,2
1165_ICT1_3396,12,2,2,5,1,19
1166_EBPL_84650,1,1,1,1,0,1
1167_BZW2_28969,13,4,3,7,5,16
1168_MT1X_4501,0,0,0,0,0,0
1169_ILF2_3608,15,0,5,3,2,5
117_DHX9_1660,26,10,10,15,10,25
1170_MRPL43_84545,1,1,1,3,1,4
1171_SF3B1_23451,22,7,12,10,12,25
1172_NDUFB11_54539,0,1,3,2,4,9
1173_ATP1B1_481,10,4,6,11,5,15
1174_GAS5_60674,4,1,1,0,1,5
1176_ZNHIT3_9326,8,1,1,4,2,8
1177_C6orf106_64771,8,1,3,7,2,8
1178_C12orf51_283450,33,13,16,16,15,42
1179_CXXC5_51523,7,2,3,6,2,11
118_RPS7_6201,8,2,3,0,2,6
1180_ATP8B2_57198,19,8,12,9,11,26
1181_TM2D1_83941,5,0,1,3,1,8
1182_PHF10_55274,9,4,6,8,6,17
1183_MDK_4192,0,1,2,3,1,3
1184_RIPK4_54101,20,8,7,10,10,25
1185_ST6GAL1_6480,7,2,4,6,6,9
1186_WDR1_9948,12,4,7,3,9,16
1187_TDP2_51567,4,2,6,3,4,11
1188_RIC8A_60626,15,8,4,4,7,8
1189_HDAC1_3065,19,6,10,8,9,24
119_RPS10_6204,4,1,2,1,1,3
1190_HIST1H2AG_8969,4,1,2,0,0,2
1191_JUND_3727,31,7,13,14,12,38
1192_CNKSR3_154043,8,5,9,12,8,21
1193_HIST1H2BH_8345,2,2,1,0,1,5
1194_ANXA1_301,11,2,4,4,6,15
1195_TMEM125_128218,0,1,0,2,1,0
1196_ZFP62_643836,18,3,10,10,8,26
1197_GNAQ_2776,4,5,8,8,4,10
1198_FAM100B_283991,10,1,4,5,5,13
1199_PRKAR2A_5576,12,2,6,1,5,14
12_HSP90AA1_3320,14,5,8,6,8,21
120_NPIPL3_23117,8,4,3,4,4,15
1200_C11orf96_387763,25,10,11,10,12,37
1201_UIMC1_51720,12,7,5,7,5,13
1202_CTNNA1_1495,20,10,11,9,9,30
1203_SRSF1_6426,21,8,10,10,14,32
1204_TAF15_8148,25,10,9,14,12,28
1205_HIST1H2AH_85235,4,1,2,0,0,2
1206_CHCHD1_118487,4,0,5,1,1,6
1207_PAFAH1B1_5048,13,4,6,3,5,13
1208_SCFD1_23256,21,5,10,12,12,23
1209_DDX1_1653,17,9,8,11,11,28
121_OGT_8473,28,7,10,13,11,30
1210_SYBU_55638,14,6,5,4,7,18
1211_OCRL_4952,22,4,6,11,12,24
1212_PCF11_51585,31,9,9,16,14,38
1213_TIMM8B_26521,1,1,0,0,1,3
1214_ZNF587_84914,12,1,5,6,2,15
1215_ING5_84289,6,4,3,4,3,10
1216_UBE2I_7329,0,1,0,0,0,1
1217_C15orf61_145853,4,0,0,1,0,1
1218_CNOT2_4848,18,7,8,11,7,25
1219_FOPNL_123811,7,1,2,2,2,6
122_RPS21_6227,4,3,1,2,3,2
1220_PKP3_11187,17,5,4,7,6,24
1221_COMMD3_23412,7,0,1,2,2,6
1222_SMARCC2_6601,24,10,11,13,11,30
1223_EIF3M_10480,14,2,4,3,4,10
1224_RABGAP1_23637,22,8,13,9,14,30
1225_RNF114_55905,6,0,1,2,0,4
1226_PITPNA_5306,11,4,2,3,5,7
1227_HRASLS5_117245,3,2,3,4,3,8
1228_HPGD_3248,7,4,1,4,5,10
1229_TCEB2_6923,3,1,4,2,2,9
123_NEDD4L_23327,25,7,9,9,8,30
1230_MBOAT2_129642,9,2,6,1,4,11
1231_FAM49B_51571,8,2,4,6,4,11
1232_TOR3A_64222,8,3,1,11,7,16
1233_SUB1_10923,3,0,2,3,3,3
1235_VAMP8_8673,0,1,0,0,1,4
1236_KLHDC10_23008,34,14,15,18,17,45
1238_IFITM1_8519,1,0,0,2,2,2
124_SHFM1_7979,4,0,4,2,3,6
1240_NOP10_55505,3,1,0,0,1,1
1241_C21orf33_8209,8,2,5,0,5,12
1242_THOC2_57187,28,12,13,8,13,29
1243_DUSP16_80824,18,5,10,9,7,20
1244_ETFB_2109,2,2,2,4,1,4
1245_MCTS1_28985,8,2,3,6,3,9
1246_TAF1C_9013,10,4,5,5,7,15
1247_CRYL1_51084,5,2,2,6,4,6
1248_DHTKD1_55526,16,5,8,8,6,20
1249_ALDH1A3_220,18,6,8,5,10,25
125_RPS27A_6233,9,6,2,2,0,9
1250_MRPS35_60488,3,0,1,3,3,5
1251_SNX12_29934,2,3,2,5,5,11
1252_SMG1_23049,31,12,14,15,12,42
1253_ANKRD11_29123,35,14,14,14,15,41
1254_C19orf50_79036,4,0,3,3,2,4
1255_SUPT4H1_6827,6,2,2,5,3,7
1256_C19orf28_126321,2,0,3,0,1,3
1257_PMVK_10654,5,1,0,1,2,3
1258_SRSF10_10772,6,1,1,3,4,3
1259_HPS4_89781,10,2,5,2,0,12
126_ND4_4538,22,8,8,7,11,32
1260_C1orf63_57035,8,2,2,6,3,7
1261_PIGT_51604,13,2,5,5,2,13
1262_HSF1_3297,12,2,2,3,2,10
1263_FBXO25_26260,5,0,0,1,1,5
1264_CAST_831,26,9,11,12,13,31
1265_THOC3_84321,5,5,4,8,4,8
1267_PPAPDC1B_84513,4,0,3,1,3,3
1268_XYLT2_64132,16,5,7,9,6,18
1269_SLC37A3_84255,9,2,2,4,6,8
127_PIM3_415116,3,2,0,2,4,5
1270_EIF2AK1_27102,18,3,7,6,1,16
1271_SS18L2_51188,8,1,1,2,2,9
1272_GTPBP4_23560,13,3,2,4,9,16
1273_NFIA_4774,25,11,7,10,9,25
1274_C19orf63_284361,29,9,11,11,15,39
1275_SNRPB2_6629,11,2,1,5,2,6
1276_LSM5_23658,2,2,1,2,2,4
1277_FABP5_2171,5,1,0,1,2,1
1278_GADD45B_4616,1,1,2,1,2,2
1279_MFN2_9927,8,3,6,7,8,16
128_RPL35A_6165,0,0,0,0,0,0
1280_FZD4_8322,8,3,4,4,4,10
1281_SNRPE_6635,0,0,0,0,0,2
1282_RARS_5917,13,5,5,8,11,22
1283_TCEAL3_85012,11,3,6,3,7,10
